,x_cavity_freq,y_mod
0,100.0,6441.9232984809305
1,101.5,6384.374704384228
2,103.01,6333.591317748298
3,104.51,5894.492526289806
4,106.02,6542.206463816883
5,107.52,6970.1435579619265
6,109.02,5900.298266141399
7,110.53,6065.768207634932
8,112.03,6266.893724102162
9,113.53,5606.6865694496755
10,115.04,5610.648444945147
11,116.54,6443.566976542587
12,118.05,5946.005192288007
13,119.55,6210.271551526243
14,121.05,5965.197010075642
15,122.56,6521.083204886914
16,124.06,6376.481569521445
17,125.56,5837.341076567647
18,127.07,6447.610162231533
19,128.57,6236.428952785107
20,130.08,5682.876613391214
21,131.58,6707.772388882749
22,133.08,6241.180079036336
23,134.59,5790.974305859181
24,136.09,6113.467518612197
25,137.59,6721.5930269203855
26,139.1,5661.198219354971
27,140.6,5859.07254063864
28,142.11,6032.151313682824
29,143.61,6119.89915431729
30,145.11,6054.241976559091
31,146.62,6176.967233211194
32,148.12,6016.961045206517
33,149.62,5669.84719134151
34,151.13,6378.054113831515
35,152.63,6177.332575696771
36,154.14,6213.066054232813
37,155.64,5653.93372500483
38,157.14,6744.58735971894
39,158.65,5660.800654957615
40,160.15,5933.028998709095
41,161.65,6215.898533416828
42,163.16,5763.067896866848
43,164.66,5670.668351734437
44,166.17,6112.127455218157
45,167.67,6487.4197478742635
46,169.17,5678.086800504486
47,170.68,5863.239731812046
48,172.18,6055.533226997289
49,173.68,5296.884286713478
50,175.19,5753.716161228468
51,176.69,5891.725095168838
52,178.2,5636.26577047035
53,179.7,5989.693376061036
54,181.2,6210.670743199429
55,182.71,5930.237488543762
56,184.21,5976.561283677635
57,185.71,5967.343192298848
58,187.22,5993.451963921631
59,188.72,5567.46983396263
60,190.23,5752.817784731504
61,191.73,5920.823707650918
62,193.23,5858.1766461152965
63,194.74,5594.82955145451
64,196.24,6317.8767496859155
65,197.74,6253.461623404105
66,199.25,4416.255053501139
67,200.75,4182.588378393746
68,202.26,5838.926741388285
69,203.76,6196.96111091596
70,205.26,5717.5686404900325
71,206.77,6035.733007336682
72,208.27,6372.552277295742
73,209.77,5815.8990723352645
74,211.28,6112.525294951984
75,212.78,6133.665333552885
76,214.29,5589.528965253253
77,215.79,6024.732275273204
78,217.29,6213.265184688527
79,218.8,5862.469124913526
80,220.3,5986.632965133309
81,221.8,5798.642141006558
82,223.31,5821.508291564204
83,224.81,5703.760235684493
84,226.32,6503.401418224235
85,227.82,6158.347278975853
86,229.32,6003.506067663083
87,230.83,6142.31691465982
88,232.33,6134.335446300373
89,233.83,5764.062303995486
90,235.34,5907.993625279194
91,236.84,6401.799835833814
92,238.35,6378.152291272812
93,239.85,5951.727197670243
94,241.35,6157.678797618608
95,242.86,6788.772969353435
96,244.36,5430.784934351715
97,245.86,5883.3178930238855
98,247.37,6204.674061583036
99,248.87,6393.390724881114
100,250.38,5837.396600326985
101,251.88,5327.95398603545
102,253.38,5930.348232535596
103,254.89,5408.674568827389
104,256.39,5150.589842325572
105,257.89,5557.792771200348
106,259.4,5773.3408682290055
107,260.9,5787.059235435017
108,262.41,5889.911597751105
109,263.91,5560.070440082929
110,265.41,6067.640535760238
111,266.92,5517.231429243011
112,268.42,6085.834480944961
113,269.92,5754.421661472477
114,271.43,6064.564203160407
115,272.93,5937.263592341333
116,274.44,5740.268499887871
117,275.94,6169.181686528642
118,277.44,6376.6933880243
119,278.95,5933.88932508022
120,280.45,6058.695074778879
121,281.95,5570.2630051073975
122,283.46,5526.80286015456
123,284.96,6127.664936545149
124,286.47,6468.990910087422
125,287.97,5537.766112715607
126,289.47,6046.768667657221
127,290.98,6024.534688285592
128,292.48,6157.929510253633
129,293.98,5752.701587607841
130,295.49,5878.5343624499565
131,296.99,6030.321728687556
132,298.5,5841.212468984618
133,300.0,6124.428453602311
